"Timestamp (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets","VUS","RPS"
1734394852,15.0,40712,128.26,0.01,0,0,0
1734394853,15.0,71184,156.45,0.01,91,0,91.7049236385076
1734394854,15.0,74240,156.67,0.01,91,0,96.21894134607548
1734394856,33.0,77416,156.45,0.01,90,1,99.05464811291966
1734394857,15.0,81300,156.45,0.01,90,0,99.34073794981475
1734394858,14.0,81528,156.81,0.01,89,0,99.53740094479683
1734394859,15.0,81824,156.45,0.01,89,1,98.96207033557859
1734394860,13.9,82924,156.45,0.01,89,1,99.73493757613204
1734394862,35.0,85392,156.45,0.01,88,1,99.84168192963729
1734394863,14.0,86996,156.45,0.01,88,1,99.88902386501316
1734394864,14.0,87124,158.85,0.01,88,0,99.94141476329462
1734394865,14.0,87156,158.77,0.01,87,1,99.60752282273668
1734394866,14.0,87184,160.15,0.01,86,1,99.31239066070856
1734394868,15.0,88716,158.76,0.01,98,0,99.71599058938436
1734394869,14.0,88940,158.77,0.01,98,0,99.43928405612623
1734394870,14.0,89000,159.81,0.01,98,1,99.78232808595159
1734394871,16.0,89096,158.77,0.01,97,1,99.55956137293941
1734394872,33.0,89292,158.77,0.01,97,1,99.59282925183983
1734394874,15.0,90124,158.77,0.01,96,0,99.8682981994178
1734394875,15.0,90136,158.77,0.01,96,1,99.90428987586397
1734394876,15.0,90160,156.45,0.01,95,0,99.71568162884131
1734394877,14.0,90176,156.46,0.01,95,0,99.95519961629573
1734394878,15.0,90180,157.84,0.01,94,1,99.77322054981643
1734394880,15.0,90508,156.45,0.01,94,1,99.79684620636144
1734394881,32.0,92308,156.45,0.01,94,0,99.99488681053484
1734394882,16.0,93712,156.45,0.01,93,1,99.84441791187704
1734394883,14.9,93748,156.45,0.01,93,1,99.86880954654237
1734394884,15.0,93772,156.46,0.01,92,0,99.73464254896587
1734394886,14.9,93784,156.5,0.01,92,0,99.76698599953836
1734394887,15.0,93800,156.46,0.01,91,1,99.93370390569083
1734394888,15.0,93892,156.67,0.01,91,0,99.94923867847119
1734394889,14.0,96356,156.45,0.01,90,1,99.83371020046654
1734394890,14.0,96408,156.81,0.01,89,0,99.84586960696909
1734394892,16.0,96424,156.46,0.01,89,0,99.99238909377739
1734394893,15.0,96432,157.83,0.01,89,1,99.75863069075702
1734394894,14.0,96436,156.46,0.01,88,0,99.7748435875595
1734394895,9.0,96452,117.48,0.01,100,1,99.78667865637246
1734394896,9.0,96464,110.6,0.01,101,1,99.80943279029077
1734394898,9.0,96604,110.6,0.01,101,1,99.83269016525435
1734394899,9.9,97416,110.6,0.01,101,1,99.95379322384562
1734394900,10.0,98008,110.6,0.01,101,0,99.85974591454361
1734394901,9.0,98008,110.6,0.01,101,0,99.97468994940279
1734394902,9.0,98024,111.71,0.01,101,1,99.8840531271744
1734394903,10.0,98040,110.6,0.01,101,1,99.89978301958433
1734394905,9.0,98056,110.6,0.01,101,1,99.90971235825633
1734394906,9.0,98064,110.6,0.01,101,1,99.92469596543384
1734394907,9.0,98072,110.6,0.01,101,0,99.84583351331518
1734394908,8.9,98080,110.6,0.01,101,1,99.85789570751588
1734394909,9.0,98084,110.6,0.01,101,1,99.9576311222348
1734394911,9.0,98092,110.6,0.01,101,0,99.88248000227145
1734394912,13.3,98096,52.49,0.00,101,0,99.89497341526693
