timestamp,cpu_server,mem_server,cpu_loadgen,mem_loadgen,bandwidth_loadgen,bandwidth_utilization_loadgen,open_sockets_loadgen,vus_loadgen,rps_loadgen
1734412606,7.7,13080,15.0,54428,158.77,0.01,95,0,97.1203644121007
1734412607,2.0,13057,15.0,56972,158.78,0.01,95,0,96.61613615040936
1734412609,3.0,13057,27.0,59168,156.45,0.01,94,0,97.91393219975689
1734412611,2.0,13096,27.0,61124,157.42,0.01,94,0,98.81100935563992
1734412612,1.0,13098,14.0,62236,156.45,0.01,93,0,99.04754399474008
1734412613,2.0,13096,26.0,62352,156.45,0.01,93,0,99.2354801528237
1734412616,2.0,13096,15.0,63676,156.45,0.01,92,0,99.50723638618848
1734412617,2.0,13096,26.0,64140,156.49,0.01,92,0,99.59048139420707
1734412618,8.7,13096,13.9,64948,156.45,0.01,91,0,99.26508765026928
1734412619,1.0,13096,14.0,64976,156.45,0.01,91,0,99.3400872812792
1734412622,7.7,13096,13.9,66440,156.81,0.01,91,0,99.47538596819798
1734412623,3.0,13096,16.0,66548,156.45,0.01,90,0,99.81048936078358
1734412624,1.0,13096,27.0,66636,157.83,0.01,89,0,99.5909326606411
1734412626,8.7,13096,14.0,68008,156.45,0.01,89,0,99.6644741369296
1734412628,14.3,13096,26.7,68040,156.45,0.01,88,0,99.71408843329648
1734412629,2.0,13096,14.0,68868,156.45,0.01,88,0,99.73498518884912
1734412631,1.0,13096,13.0,68972,156.45,0.01,88,0,99.78317011418784
1734412632,7.7,13096,15.0,69140,156.45,0.01,87,0,99.7991669351246
1734412634,8.7,13097,14.0,69140,156.45,0.01,87,0,99.81199402698417
1734412636,2.0,13096,25.0,69208,158.77,0.01,86,0,99.69441070870086
1734412637,2.0,13096,15.0,69616,158.77,0.01,86,0,99.71435251030762
1734412638,2.0,13096,13.9,69616,158.79,0.01,85,0,99.74093309454496
1734412641,1.0,13097,15.0,69708,160.15,0.01,97,0,99.77446437849665
1734412642,8.7,13097,14.0,69716,158.77,0.01,96,0,99.78593673746678
1734412643,2.0,13096,26.0,69724,158.77,0.01,96,0,99.80453935876707
1734412644,2.0,13096,17.0,69824,158.77,0.01,96,0,99.82169032904427
1734412646,2.0,13096,15.0,69832,158.77,0.01,96,0,99.8310323794519
1734412647,2.0,13096,14.0,69856,158.77,0.01,95,0,99.8415867346405
1734412648,2.0,13096,25.0,69860,158.77,0.01,95,0,99.85626190960116
1734412649,2.0,13097,14.9,70060,156.45,0.01,94,0,99.866980691414
1734412652,2.0,13096,25.0,70072,157.62,0.01,94,0,99.89189448752003
1734412653,8.7,13096,15.0,70092,156.45,0.01,93,0,99.79969869965484
1734412654,1.0,13096,16.0,70096,156.45,0.01,93,0,99.81263610237244
1734412656,3.0,13096,15.0,70304,156.45,0.01,92,0,99.83509900090004
1734412658,1.0,13096,14.0,70336,156.46,0.01,92,0,99.8463629824816
1734412659,2.0,13096,14.0,70344,156.53,0.01,91,0,99.85680092322892
1734412661,2.0,13096,15.0,70360,157.83,0.01,91,0,99.87774820581294
1734412662,2.0,13096,14.0,70360,156.45,0.01,90,0,99.88386734598282
1734412665,0.0,13097,60.0,70364,48.44,0.0,89,0,99.90942035344884
