timestamp,response_time_mean,response_time_std,response_time_min,response_time_max,cpu_server,mem_server,cpu_loadgen,mem_loadgen,bandwidth_loadgen,bandwidth_utilization_loadgen,open_sockets_loadgen,vus_loadgen,rps_loadgen
1734414395,0.47041967999999995,0.06179901456438345,0.296018,0.59,8.7,13287,24.8,55104,158.89,0.01,95,0,97.08102802687466
1734414397,0.47007924,0.13556359636412035,0.283925,1.618512,3.0,13263,15.0,57848,158.91,0.01,95,0,98.6317855194196
1734414398,0.4666482,0.06265758903159717,0.342546,0.625163,2.0,13303,27.0,59904,158.76,0.01,95,0,99.16193156281643
1734414400,0.47095611,0.13895649679338054,0.279984,1.688043,2.0,13303,27.0,62560,157.76,0.01,94,0,99.68414064734458
1734414401,0.44040173000000005,0.06760930501045741,0.248966,0.570293,2.0,13303,15.0,63472,156.45,0.01,93,0,99.11343831837662
1734414404,0.44113518999999995,0.07389672511089411,0.268266,0.588363,2.0,13304,16.0,64748,156.45,0.01,92,0,99.42120958059338
1734414405,0.48582828,0.1789147656010605,0.282319,2.142254,2.0,13304,14.9,64808,156.45,0.01,92,0,99.51322609286892
1734414406,0.4591068,0.0681336924510194,0.279461,0.610851,2.0,13304,15.0,64788,156.45,0.01,91,0,99.60844974806515
1734414407,0.46410913,0.06213197785598058,0.307817,0.558802,2.0,13304,15.0,64952,156.45,0.01,91,0,99.66998020822976
1734414410,0.47966547,0.06909569980618303,0.322067,0.635271,1.0,13304,15.0,65860,156.67,0.01,91,0,99.76142026074876
1734414411,0.4691995,0.07365120422126457,0.305887,0.61286,7.7,13304,15.0,65888,156.45,0.01,90,0,99.80901589659452
1734414412,0.47937841,0.07385501007072831,0.289891,0.67093,3.0,13303,16.0,65940,156.46,0.01,90,0,99.843144371984
1734414414,0.44409010000000004,0.06604416802910433,0.340899,0.600185,1.0,13303,15.0,67056,156.46,0.01,89,0,99.89923310586636
1734414416,0.47705171,0.10928083849748331,0.29664,1.288055,3.0,13303,14.0,67068,156.87,0.01,89,0,99.68476662537728
1734414417,0.49445896,0.07894382166393692,0.311228,0.952083,2.0,13303,24.0,67240,156.45,0.01,88,0,99.93421929332632
1734414419,0.44085809,0.06334388073290859,0.290339,0.567285,2.0,13264,15.0,68472,156.45,0.01,87,0,99.76561976887898
1734414420,0.47953143,0.08043068184194829,0.354026,0.902843,8.7,13304,28.0,68608,156.45,0.01,87,0,99.81246319214291
1734414422,0.45855094,0.06625840413015659,0.255357,0.587792,1.0,13303,15.0,69072,158.77,0.01,87,0,100.00389647048024
1734414424,0.46765377,0.11591984494223334,0.292141,1.433996,1.0,13304,23.0,69120,160.15,0.01,85,0,99.87249541913503
1734414425,0.42869778,0.07682611781376794,0.294963,0.655181,1.0,13304,15.0,69556,158.77,0.01,97,0,99.73021996540568
1734414426,0.4688563,0.06972276613202465,0.229386,0.60356,2.0,13263,15.0,69568,160.17,0.01,97,0,99.91051815041122
1734414429,0.45049008999999995,0.05550608192794569,0.319768,0.567649,1.0,13303,15.0,69832,158.81,0.01,96,0,99.8009139889634
1734414430,0.43322148,0.0627560511610062,0.318042,0.627314,2.0,13304,14.0,69840,158.77,0.01,95,0,99.82155726336704
1734414431,0.44422192000000005,0.06212839362593396,0.298202,0.577463,1.0,13304,15.0,69872,158.77,0.01,95,0,99.96510062613967
1734414432,0.45038838,0.07646321546170444,0.270087,0.668337,2.0,13304,27.0,69880,159.74,0.01,95,0,99.84355539449136
1734414434,0.43908205,0.06833020751437151,0.263782,0.597922,3.0,13303,16.0,69928,156.45,0.01,94,0,99.98336561485114
1734414435,0.4316497777777778,0.063738826411997,0.252169,0.601411,2.0,13304,15.0,69936,156.46,0.01,94,0,99.99301022777654
1734414436,0.43143967326732674,0.15382683157434593,0.2686,1.809169,2.0,13304,26.0,69952,157.83,0.01,94,0,99.88482254820198
1734414437,0.43323372,0.07015906052434125,0.266901,0.574833,2.0,13303,16.0,70420,156.45,0.01,93,0,99.7799491134273
1734414440,0.41113055000000004,0.07465939432649782,0.299437,0.609989,2.0,13304,26.0,70508,156.45,0.01,92,0,99.92345215020482
1734414441,0.42782594,0.06395127526513267,0.284115,0.663625,2.0,13304,16.0,70564,156.46,0.01,92,0,99.81732639781494
1734414442,0.49184004000000003,0.05966641398438455,0.333302,0.63254,2.0,13304,15.0,70616,156.45,0.01,92,0,99.83171805802068
1734414444,0.45514464,0.06680428388028704,0.298269,0.578918,2.0,13303,26.7,70632,156.45,0.01,91,0,99.95262572542433
1734414446,0.43396535999999997,0.06808676168743248,0.297817,0.569434,2.0,13303,16.0,68684,157.83,0.01,91,0,99.86456573393195
1734414447,0.48682462,0.13701888286175168,0.325976,1.707783,2.0,13264,16.0,68700,156.45,0.01,90,0,99.9733587898676
1734414449,0.44731063,0.0633636117899204,0.292498,0.569284,3.0,13303,16.0,69228,156.45,0.01,89,0,99.98823942655416
1734414450,0.41935690999999997,0.05116858329409904,0.303146,0.554226,1.0,13304,14.9,69420,156.46,0.01,89,0,99.90538765992795
1734414452,0.48515805,0.06451596158079367,0.301171,0.599113,2.0,13304,15.0,69432,156.48,0.01,88,0,99.91807227944518
